  SP99  PI-N S11      7/12/99     Sr=1-eta**2
     WCM       Del   Err    Sr    Err      Trl   Tim      Sgt    Sgr
  1890.00   129.08  0.00   0.690  0.000  -0.272 0.557     5.51   1.71
  1900.00   129.47  0.00   0.697  0.000  -0.270 0.553     5.37   1.69
  1910.00   129.78  0.00   0.706  0.000  -0.267 0.549     5.24   1.68
  1920.00   130.04  0.00   0.715  0.000  -0.263 0.546     5.12   1.68
  1930.00   130.23  0.00   0.725  0.000  -0.259 0.543     5.01   1.67
  1940.00   130.35  0.00   0.736  0.000  -0.254 0.542     4.90   1.67
  1950.00   130.42  0.00   0.747  0.000  -0.248 0.540     4.81   1.66
  1960.00   130.42  0.00   0.758  0.000  -0.243 0.539     4.72   1.66
  1970.00   130.36  0.00   0.770  0.000  -0.237 0.539     4.64   1.66
  1980.00   130.24  0.00   0.782  0.000  -0.230 0.539     4.56   1.66
  1990.00   130.05  0.00   0.794  0.000  -0.223 0.539     4.49   1.66
  2000.00   129.80  0.00   0.806  0.000  -0.216 0.540     4.43   1.65
  2010.00   125.18  0.00   0.847
  2020.00   124.90  0.00   0.858
  2030.00   124.54  0.00   0.869
  2040.00   124.09  0.00   0.880
  2050.00   123.55  0.00   0.891
  2060.00   122.90  0.00   0.900
  2070.00   122.12  0.00   0.910
  2080.00   121.21  0.00   0.918
  2090.00   120.14  0.00   0.927
  2100.00   118.89  0.00   0.934
  2110.00   117.44  0.00   0.941
  2120.00   115.78  0.00   0.947
  2130.00   113.88  0.00   0.952
  2140.00   111.74  0.00   0.956
  2150.00   109.37  0.00   0.959
  2160.00   106.78  0.00   0.962
  2170.00   104.02  0.00   0.964
  2180.00   101.15  0.00   0.965
  2190.00    98.25  0.00   0.964
  2200.00    95.40  0.00   0.964
  2210.00    92.66  0.00   0.962
  2220.00    90.11  0.00   0.959
  2230.00    87.77  0.00   0.956
  2240.00    85.66  0.00   0.951
  2250.00    83.79  0.00   0.946
  2260.00    82.14  0.00   0.941
  2270.00    80.69  0.00   0.934
  2280.00    79.42  0.00   0.927
  2290.00    78.32  0.00   0.919
  2300.00    77.35  0.00   0.911
  2310.00    76.52  0.00   0.902
  2320.00    75.79  0.00   0.892
  2330.00    75.16  0.00   0.882
  2340.00    74.60  0.00   0.872
  2350.00    74.12  0.00   0.861
  2360.00    73.70  0.00   0.850
  2370.00    73.34  0.00   0.838
  2380.00    73.02  0.00   0.826
  2390.00    72.74  0.00   0.814
  2400.00    72.50  0.00   0.802
  2410.00    72.29  0.00   0.789
  2420.00    72.10  0.00   0.777
  2430.00    71.94  0.00   0.764
  2440.00    71.80  0.00   0.751
  2450.00    71.68  0.00   0.738
  2460.00    71.58  0.00   0.726
  2470.00    71.48  0.00   0.713
  2480.00    71.40  0.00   0.700
  2490.00    71.34  0.00   0.687
  2500.00    71.28  0.00   0.674

  SP99  PI-N S31      7/12/99     Sr=1-eta**2
     WCM       Del   Err    Sr    Err      Trl   Tim      Sgt    Sgr
  1079.00     0.0  0.00   0.000  0.000  -0.0   0.000     1.78  -0.01
  1090.00    -2.08  0.00   0.000  0.000  -0.036 0.001     2.12   0.00
  1100.00    -3.07  0.00   0.000  0.000  -0.053 0.003     2.46   0.00
